regio1,serviceCharge,heatingType,telekomTvOffer,telekomHybridUploadSpeed,newlyConst,balcony,picturecount,pricetrend,telekomUploadSpeed,totalRent,yearConstructed,scoutId,noParkSpaces,firingTypes,hasKitchen,geo_bln,cellar,yearConstructedRange,baseRent,houseNumber,livingSpace,geo_krs,condition,interiorQual,petsAllowed,street,streetPlain,lift,baseRentRange,typeOfFlat,geo_plz,noRooms,thermalChar,floor,numberOfFloors,noRoomsRange,garden,livingSpaceRange,regio2,regio3,description,facilities,heatingCosts,energyEfficiencyClass,lastRefurbish,electricityBasePrice,electricityKwhPrice,date
Sachsen,155,central_heating,ONE_YEAR_FREE,10,FALSE,FALSE,9,0.98,2.4,555,1892,109842225,NA,gas,FALSE,Sachsen,TRUE,1,400,NA,80,Mittelsachsen_Kreis,well_kept,normal,negotiable,no_information,NA,FALSE,2,NA,09669,3,112.53,1,NA,3,TRUE,3,Mittelsachsen_Kreis,Frankenberg/Sachsen,"Gern möchten wir Ihnen diese 3-Zimmer-Wohnung in Frankenberg vorstellen. Sie macht einen einladenden Eindruck. Schon, wenn Sie die Haustür aufschließen, werden Sie von einem hellen Flur begrüßt. Er bietet Ihnen Platz zum Drehen und zum Ablegen Ihrer Garderobe. Schauen Sie nach rechts, öffnet sich die Tür zu dem großzügigen Wohnzimmer. Ein kleines Zimmer grenzt an. Es eignet sich gut als Arbeitszimmer. Das Schlafzimmer, wo Sie sich von der Morgensonne wecken lassen können, ist vom Flur erreichbar. Mit Blick in den Garten werden Sie hier ruhig schlafen können. Freuen wird Sie sicher auch die Küche. Sie hat einen schöne Größe, wo Sie nicht nur kochen sondern auch essen können. Mit einem extra großen Fenster haben Sie dazu ausreichend Licht. Das Badezimmer schenkt Ihnen ebenso reichlich Tageslicht und neben einer Wanne auch eine separate Dusche. 

 Schauen Sie am besten selbst, wir begrüßen Sie gern persönlich zu einem Kennenlerntermin.","- Wohnzimmer mit Laminatboden
- Tageslichtbad mit Wanne, Dusche und Waschmaschinenanschluss
- Kellerabteil
- Wäscheplatz
- Hausreinigungsservice
- Gartennutzung allgemein",NA,NA,NA,NA,NA,May19
Rheinland_Pfalz,270,oil_heating,NONE,NA,FALSE,FALSE,4,2.77,2.4,920,1912,111251778,NA,NA,FALSE,Rheinland_Pfalz,FALSE,1,650,NA,100,Südliche_Weinstraße_Kreis,mint_condition,sophisticated,no,no_information,NA,FALSE,5,ground_floor,76833,4,NA,NA,NA,4,TRUE,4,Südliche_Weinstraße_Kreis,Frankweiler,"Altes Sandsteinhaus unter Denkmalschutz im Jugendstil.
Die Wohnung verfügt über 3 Räume. Die Küche ist allerdings so gross, dass sich daraus ein 4. Raum ( Esszimmer) ergibt.

Hinzu kommen : ein Vorratsraum . ein Bad

","Die Charakteristiken des Jugendstils wurden liebevoll erhalten :
Als Mittelpunkt das repräsentative Wohnzimmer mit seinen hohen Sprossenfenstern in Rundbogenform sowie kleinen quadrat. Guckfenstern mit schmiedeeisernen Rosetten- Vergitterungen.

Die aufgearbeiteten Böden aus Lonepine- Hölzern mit ihrem honigfarbenen , samtigen Glanz .
Die hohen massiven Lamperien . Die Kastentüren mit Messingknauf . Weisse Marmorfensterbänke. Kleine weisse Wandschränke in Küche und Bad vorhanden.

Insgesamt machen die beiden Farbtöne creme- weiss und honiggelb die warme Atmosphäre der Wohnung aus.
",NA,NA,2012,NA,NA,May19
Nordrhein_Westfalen,200,central_heating,ONE_YEAR_FREE,NA,FALSE,FALSE,3,3.45,40,1150,1951,101730329,NA,oil,FALSE,Nordrhein_Westfalen,FALSE,2,950,NA,123.44,Hamm,first_time_use_after_refurbishment,sophisticated,NA,no_information,NA,FALSE,6,apartment,59065,4,NA,4,4,4,FALSE,6,Hamm,Mitte,"Die angebotene Wohnfläche befindet sich im dritten Obergeschoss eines viergeschossigen Wohn- und Geschäftshauses. Im EG befinden sich verschiedene Ladenlokale, das erste Obergeschoss wird als Bürofläche genutzt und die beiden oberen Etagen sind als Wohnraum vermietet.","Die Wohnung wird vor der Neuvermietung hochwertig modernisiert.

Modernisierung ist wie folgt geplant: (Kann nach Absprache an die Wünsche der Mieter angepasst werden)
Das Badezimmer wird mit großforamtigen Fliesen gefliest und 
Das Gäste-WC und Bad wird mit großformatigen Fliesen elegant gefliest und mit hochwertigen Badmöbeln versehen.
Der Boden wird ein Vinylboden in Holzdekor mit Relief sein.
Die Wände werden glatt gespachtelt und weiß gestrichen.",100,NA,2019,NA,NA,Oct19
Nordrhein_Westfalen,215,gas_heating,ONE_YEAR_FREE,10,TRUE,TRUE,12,3.76,2.4,1320.65,2018,92798563,1,gas,FALSE,Nordrhein_Westfalen,TRUE,9,972.6,4,87,Dortmund,first_time_use,sophisticated,negotiable,Am Dimberg,Am_Dimberg,TRUE,6,ground_floor,44229,3,NA,0,4,3,FALSE,4,Dortmund,Kirchhörde,"Der attraktive Neubau mit 10 Wohnungen liegt im Süden von Dortmund. Geschäfte und  Ärzte sind in wenigen Minuten sehr gut zu Fuß erreichbar. Durch die sehr gute Anbindung an den öffentlichen Nahverkehr ist eine optimale Erreichbarkeit sichergestellt. Die Wohnungen sind großzügig geschnitten, barrierearm und mit dem Aufzug erreichbar. Sie werden bezugsfertig mit Malervlies übergeben. Zu jeder Wohnung gehört ein Tiefgaragenstellplatz (in der Gesamtmiete enthalten), der ebenfalls mit dem Aufzug erreichbar ist.","Fußbodenheizung, hochwertiger Bodenbelag Parkett Vollstab Eiche hell, Design-Bad mit bodenbündiger Dusche und Badewanne, Echtglasduschtür, Fliesenformat 60x120 Farbe greige, Gäste-WC,   Video-Gegensprechanlage, Wohnraumlüftung mit Wärmerückgewinnung, 3-fachverglaste Isolierfenster, elektrische Rollläden, Terasse, Alarmanlage, Tiefgaragenstellplatz",43.05,NA,2018,NA,NA,May19
Thüringen,80,district_heating,ONE_YEAR_FREE,10,FALSE,TRUE,5,1.67,2.4,300,1990,106896167,NA,district_heating,FALSE,Thüringen,TRUE,4,220,4,36.63,Weimar,first_time_use_after_refurbishment,NA,NA,Birkenhof,Birkenhof,FALSE,1,apartment,99427,1,79,4,5,1,FALSE,1,Weimar,Schöndorf,"Schönes fünfgeschossiges Mehrfamilienhaus  in grüner Umgebung, mit netten Nachbarn. Gute Energiewerte sorgen für geringe Nebenkosten.",Die Wohnung verfügt über eine separate Küche mit Fenster. Das Bad ist modern gefliest und mit einer Wanne ausgestattet. Der helle Wohnbereich ist großzüig gestaltet und bietet gute Aufteilungsmöglichkeiten. Die Wohnung verfügt über einen Balkon und wird frisch saniert und ist zum 16.10.2018 bezugsfertig.,NA,NA,NA,90.76,0.1915,Sep18
Hessen,220,oil_heating,ONE_YEAR_FREE,NA,FALSE,TRUE,17,3.85,40,970,NA,93522345,NA,oil,FALSE,Hessen,TRUE,NA,750,NA,87,Main_Kinzig_Kreis,well_kept,sophisticated,negotiable,no_information,NA,FALSE,5,apartment,63452,3,165,NA,NA,3,FALSE,4,Main_Kinzig_Kreis,Hanau,"Schöne 3 Zimmer Whg.87qm (4WE) in ruhiger Wohngegend HU -Nord (Sackgasse) zu vermieten.Die Whg. besteht aus einer gemütlichen Eßdiele , großes Schlafzimmer, Wohnzimmer mit Doppeltüren und Kinder/Arbeitszimmer. 2 Tageslichtbädern( Dusche, WC, Waschbecken, Wannenbad mit WC und Waschbecken)Die Wohnung liegt im 1,5 Stock und hat einen großen Südbalkon. Die Böden sind mit hellen Fliesen ausgestattet. Ein Kellerraum gehört zur Wohnung. Fahrradkeller und Waschkeller zur allgemein Nutzung.  Separater Strom- und Wasseranschluss im Waschkeller für jede Whg. vorhanden. 
Die vorhande Einbauküche kann nach Absprache mit dem Vormieter übernommen werden.

Haustiere nach Absprache erlaubt. Die Whg. ist mit modernen Wärmeverbrauchsmessern, Wasseruhren und Rauchmeldern ausgestattet. Das Haus verfügt über eine neuwertige Öl Zentralheizung.

Die Stadtmitte Hanau ist in 5 Min erreichbar, Naherholungsgebiet 10 Min.BAB Anschluß 5 Min. Ein Einkaufsmarkt befindet sich fußläufig in 5 Min Entfernung. DLS 16000 verfügbar. Kabelfernsehen vorhanden muss aber vom Mieter angemeldet werden.

Nichtraucher erwünscht. Gerne auch an Renterehepaar für Mithilfe bei der Gartenpflege/Hausmeister gegen Mietpreisnachlaß. Ideal als WG Wohnung.
Bitte ausführliche Bewerbung per eMail",Fliesenböden in allen Räumen,NA,NA,NA,NA,NA,Oct19
Sachsen,50,central_heating,ONE_YEAR_FREE,NA,FALSE,FALSE,12,1.96,40,325,1897,107018003,NA,gas,FALSE,Sachsen,FALSE,1,200,NA,50,Mittelsachsen_Kreis,refurbished,normal,NA,no_information,NA,FALSE,1,roof_storey,04720,2,257.5,3,NA,2,TRUE,2,Mittelsachsen_Kreis,Döbeln,"Vermietet wird eine gemütliche Wohnung mit zwei Zimmern im Dachgeschoss eines sanierten Mehrfamilienhauses in Döbeln. Alle Räume sind direkt vom Flur aus begehbar. Neben dem hellen Wohnzimmer verfügt die Wohnung über ein Schlafzimmer, eine separate Küche mit Fenster sowie ein Bad mit Dusche und Waschmaschinenanschluss. Bei Verfügbarkeit steht ein Kellerabteil zur Nutzung bereit.",NA,75,NA,1996,90.76,0.2055,Sep18
Nordrhein_Westfalen,121,central_heating,ONE_YEAR_FREE,NA,FALSE,TRUE,5,3.12,40,NA,1914,111227157,NA,gas,FALSE,Nordrhein_Westfalen,TRUE,1,329,78,65,Duisburg,well_kept,NA,negotiable,Kalthoffstra&szlig;e,Kalthoffstraße,FALSE,2,apartment,47166,2.5,191.3,2,4,2,FALSE,3,Duisburg,Obermarxloh,"Gepflegtes Mehrfamilienhaus in  Duisburg-Obermarxloh. Großzügiges und grünes Umfeld. Öffentliche Parkmöglichkeiten sind vorhanden.

Haben Sie Interesse? Dann senden Sie die Objekt-Id 3182-16-M per WhatsApp an 0172 8877030, per Telegram an LEGWohnen oder per Threema an *LEGCHAT.

Wichtiger Hinweis: Nachdem Sie das Kontaktformular im Portal ausgefüllt und verschickt haben, erhalten Sie von uns innerhalb von 15 Minuten eine E-Mail. 

Bitte folgen Sie dem dort angegebenen Link, um Ihre E-Mail-Adresse und Ihre Angaben zu bestätigen.","• Balkon
 • Wanne
 • Isolierverglasung
 • gepflegt
 • Keller
 • Fernwärme
 • Mediaanschluss",77,NA,NA,NA,NA,May19
Niedersachsen,290,district_heating,ONE_YEAR_FREE,NA,FALSE,TRUE,35,2.35,5,1878.48,2013,113019528,1,district_heating,FALSE,Niedersachsen,TRUE,8,1343.48,3,127.95,Göttingen_Kreis,mint_condition,sophisticated,negotiable,Robert-Gernhardt-Platz,Robert-Gernhardt-Platz,TRUE,7,apartment,37073,5,110,1,4,5,FALSE,6,Göttingen_Kreis,Göttingen,"Im Südgebäude des Quartiers am Leinebogen entstanden in den Obergeschossen zwanzig modern ausgestattete 2- bis 5-Zimmer Mietwohnungen, die über drei Hauseingänge erschlossen sind.",Moderne Architektur gepaart mit hochwertigen Materialien und einer anspruchsvollen Ausstattung erwarten Sie im Quartier am Leinebogen. Die Wohnung ist mit einem Eichenparkettboden in allen Wohn- und Schlafräumen sowie im Flur ausgestattet. Das Bad mit Fenster und das WC sind mit großformatigen Feinsteinzeug-Fliesen in sandfarben an Böden und Wänden ausgestattet. Die Armaturen der Marke Hansa und Sanitärobjekte der Marke Keramag runden die Badausstattung ab. Vom Wohnzimmer aus gelangt man auf die südlich ausgerichtete Loggia. Von dem Flur aus ist ein Abstellraum begehbar. Zur Wohnung gehört ein Keller und ein Tiefgarageneinstellplatz. Weiterhin befinden sich im Keller ein Wäschetrockenraum sowie ein zusätzlicher Fahrradkeller. Von der Tiefgarage bis zum Dachgeschoss ist alles bequem mit dem Aufzug zu erreichen.,160,NA,NA,NA,NA,Oct19
Schleswig_Holstein,140,central_heating,ONE_YEAR_FREE,NA,FALSE,TRUE,15,5,10,1450,1978,110416311,2,gas,FALSE,Schleswig_Holstein,TRUE,3,1150,NA,160,Neumünster,well_kept,sophisticated,negotiable,no_information,NA,FALSE,7,ground_floor,24539,4,187,0,2,4,TRUE,7,Neumünster,Wittorf,"Ihre repräsentative, großzügige und helle Wohnung liegt im Erdgeschoss eines sehr gepflegten 2-Familienhauses in einem sehr schönen und ruhigen Wohnumfeld.In der Nachbarschaft befinden sich ausschließlich Ein- und Zweifamilienhäuser.
Den separaten Eingang zu Ihrer Wohnung erreichen Sie barrierefrei von der Auffahrt bzw. dem Carport.
Von Ihrem großzügigen Eingangsbereich aus gelangen Sie linker Hand in das schöne 1. Kaminzimmer mit Zugang zum Garten, das auch gut als Gäste-, Arbeits- oder Kinderzimmer genutzt werden könnte. Rechter Hand befindet sich rechts die große und helle Küche mit schicker Einbauküche und links die Tür zum Keller mit Sauna, Hobbyraum und Waschkeller. Geradeaus befindet sich links das schöne und moderne Gäste-WC und rechts betreten Sie das riesige, helle Wohnzimmer. Vom Wohnzimmer mit der 6 m breiten Fensterfront zur Terrasse, die von einer ebenfalls 6 m breiten el. Markise geschützt werden kann, gelangen Sie linker Hand ins Hauptschlafzimmer mit el. Außenrollläden und Bad en Suite. Das Bad ist mit einer schönen, großen Eckbadewanne und einer separaten Dusche ausgestattet. Rechter Hand befindet sich dann das 2. ca. 50 m² große und helle Kaminzimmer ebenfalls mit Zugang zur Terrasse. Von der großen Terrasse aus gelangen Sie in den schönen und gepflegten ca. 500 m² großen Garten (Die Gartenpflege ist bereits in den Nebenkosten enthalten) mit Ihrem hübschen Gartenhaus. 
Ein eigener Carportstellplatz sowie ein zusätzlicher Außenstellplatz (für zusammen € 60,-/Monat) runden dieses Angebot ab.","Das große Wohnzimmer wurde mit hochwertigem Laminat ausgelegt, das Hauptschlafzimmer hat einen weichen Teppichboden und alle anderen Räume sind schön und pflegeleicht gefliest.
Alle Fenster und Terrassentüren haben Kunststoffrahmen in Weiß und sind doppelt isolierverglast.
Die Wohnung wird mit einer Gaszentralheizung beheizt. Eigene Zähler für Strom, Wasser und Heizungsbedarf der Wohnung ermöglichen eine korrekte, individuelle Nebenkostenverteilung. Die Vorauszahlungen in Höhe von 160 Euro für Heizung inkl. Warmwasserbereitung und 140 Euro für alle weiteren Betriebskosten (inkl. Pflege des Gartens, der Teil der EG-Wohnung ist. Die Gartenpflege wird durch den Vermieter gem. einer Liste mit der genauen Beschreibung der Arbeiten ausgeführt. Die Auflistung selbst ist Teil des Mietvertrages und wird Ihnen zusammen mit dem Mietvertrag ausgehändigt.) umfassen alle Nebenkosten außer Strom, den Sie direkt mit Ihrem Versorgungsunternehmen abrechnen.",160,NA,NA,NA,NA,Oct19
